ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.3553,9.8447,0.8149,-0.0411,-0.0845,-0.343,0.0933,0.058,-0.0778,2,2019-08-07 17:01:52:429
-0.3553,9.8447,0.8149,-0.0411,-0.0845,-0.343,0.0933,0.058,-0.0778,8,2019-08-07 17:01:52:435
-0.4701,9.7922,0.5651,0.0967,-0.0321,-0.2132,0.1082,0.0143,-0.0735,12,2019-08-07 17:01:52:439
-0.4701,9.7922,0.5651,0.0967,-0.0321,-0.2132,0.1082,0.0143,-0.0735,18,2019-08-07 17:01:52:445
-0.4701,9.7922,0.5651,0.0967,-0.0321,-0.2132,0.0847,0.0047,-0.0639,22,2019-08-07 17:01:52:449
-0.695,10.0452,0.2823,0.0967,-0.0321,-0.2132,0.0847,0.0047,-0.0639,28,2019-08-07 17:01:52:455
-0.695,10.0452,0.2823,0.3303,-0.2376,-0.2493,0.0688,5.0E-4,-0.0607,33,2019-08-07 17:01:52:460
-0.7333,9.9784,0.6499,0.3303,-0.2376,-0.2493,0.0688,5.0E-4,-0.0607,37,2019-08-07 17:01:52:464
-0.7333,9.9784,0.6499,0.3303,-0.2376,-0.2493,0.0805,-0.0741,-0.0533,43,2019-08-07 17:01:52:470
-0.7333,9.9784,0.6499,0.3303,-0.2376,-0.2493,0.0805,-0.0741,-0.0533,47,2019-08-07 17:01:52:474
-0.6998,9.8113,0.8008,0.2506,0.0248,-0.6286,0.1018,-0.1369,-0.0501,53,2019-08-07 17:01:52:480
-0.6998,9.8113,0.8008,0.2506,0.0248,-0.6286,0.1018,-0.1369,-0.0501,57,2019-08-07 17:01:52:484
-0.3793,9.8877,1.0082,0.2506,0.0248,-0.6286,0.1199,-0.1465,-0.0533,63,2019-08-07 17:01:52:490
-0.3793,9.8877,1.0082,0.2506,0.0248,-0.6286,0.1199,-0.1465,-0.0533,68,2019-08-07 17:01:52:495
-0.3793,9.8877,1.0082,-0.4377,-0.1375,-0.8619,0.1497,-0.1487,-0.0628,72,2019-08-07 17:01:52:499
0.0992,9.9306,1.126,-0.4377,-0.1375,-0.8619,0.1497,-0.1487,-0.0628,78,2019-08-07 17:01:52:505
0.0992,9.9306,1.126,-0.4377,-0.1375,-0.8619,0.1817,-0.0975,-0.0767,83,2019-08-07 17:01:52:510
0.5202,9.7683,0.5698,-0.4377,-0.1375,-0.8619,0.1817,-0.0975,-0.0767,88,2019-08-07 17:01:52:515
0.5202,9.7683,0.5698,-0.7758,-0.0083,0.0984,0.1806,0.0239,-0.0895,93,2019-08-07 17:01:52:520
0.5202,9.7683,0.5698,-0.7758,-0.0083,0.0984,0.1806,0.0239,-0.0895,98,2019-08-07 17:01:52:525
-0.0348,9.8161,-0.2504,-0.7758,-0.0083,0.0984,0.1284,0.1965,-0.0991,103,2019-08-07 17:01:52:530
-0.0348,9.8161,-0.2504,-0.7758,-0.0083,0.0984,0.1284,0.1965,-0.0991,109,2019-08-07 17:01:52:536
-0.6807,9.9736,0.4661,0.2252,-0.1757,-0.2943,0.0933,0.2316,-0.0916,114,2019-08-07 17:01:52:541
-0.6807,9.9736,0.4661,0.2252,-0.1757,-0.2943,0.0933,0.2316,-0.0916,118,2019-08-07 17:01:52:545
-0.6807,9.9736,0.4661,0.2252,-0.1757,-0.2943,0.0933,0.2316,-0.0916,123,2019-08-07 17:01:52:550
-1.1543,10.0548,0.6169,0.2252,-0.1757,-0.2943,0.105,0.1038,-0.0778,128,2019-08-07 17:01:52:555
-1.1543,10.0548,0.6169,0.7453,-0.31,-0.3458,0.105,0.1038,-0.0778,133,2019-08-07 17:01:52:560
-1.1543,10.093,0.4189,0.7453,-0.31,-0.3458,0.1178,-0.0613,-0.0596,138,2019-08-07 17:01:52:565
-1.1543,10.093,0.4189,0.7453,-0.31,-0.3458,0.1178,-0.0613,-0.0596,143,2019-08-07 17:01:52:570
-1.1543,10.093,0.4189,0.7453,-0.31,-0.3458,0.1082,-0.1284,-0.0511,148,2019-08-07 17:01:52:575
-0.7285,10.1741,0.2917,0.7453,-0.31,-0.3458,0.1082,-0.1284,-0.0511,152,2019-08-07 17:01:52:579
-0.7285,10.1741,0.2917,0.1622,-0.3295,-0.1631,0.1082,-0.1284,-0.0511,158,2019-08-07 17:01:52:585
-0.7285,10.1741,0.2917,0.1622,-0.3295,-0.1631,0.105,-0.1231,-0.0469,163,2019-08-07 17:01:52:590
-0.341,9.9736,0.4849,0.1622,-0.3295,-0.1631,0.105,-0.1231,-0.0469,168,2019-08-07 17:01:52:595
-0.341,9.9736,0.4849,0.1622,-0.3295,-0.1631,0.0954,-0.0975,-0.0607,173,2019-08-07 17:01:52:600
-0.1592,9.9688,0.4944,-0.3391,-0.1722,-0.3774,0.0954,-0.0975,-0.0607,178,2019-08-07 17:01:52:605
-0.1592,9.9688,0.4944,-0.3391,-0.1722,-0.3774,0.0965,-0.0592,-0.0703,183,2019-08-07 17:01:52:610
-0.1592,9.8686,0.5886,-0.3391,-0.1722,-0.3774,0.0965,-0.0592,-0.0703,188,2019-08-07 17:01:52:615
0.0943,9.8686,0.5886,-0.3391,-0.1722,-0.3774,0.106,-0.0059,-0.0916,193,2019-08-07 17:01:52:620
0.0943,9.8686,0.5886,-0.5317,-0.1344,-0.4871,0.106,-0.0059,-0.0916,198,2019-08-07 17:01:52:625
-0.0349,9.9116,0.4991,-0.5317,-0.1344,-0.4871,0.106,-0.0059,-0.0916,203,2019-08-07 17:01:52:630
-0.0349,9.9116,0.4991,-0.5317,-0.1344,-0.4871,0.1156,0.0271,-0.115,208,2019-08-07 17:01:52:635
-0.0349,9.9116,0.4991,-0.5317,-0.1344,-0.4871,0.1156,0.0271,-0.115,212,2019-08-07 17:01:52:639
-0.3123,9.9832,0.4614,-0.2157,-0.1877,-0.3796,0.122,0.0442,-0.1214,218,2019-08-07 17:01:52:645
-0.3123,9.9832,0.4614,-0.2157,-0.1877,-0.3796,0.122,0.0442,-0.1214,222,2019-08-07 17:01:52:649
-0.4272,9.8686,0.6688,-0.2157,-0.1877,-0.3796,0.1284,0.0537,-0.1374,228,2019-08-07 17:01:52:655
-0.4272,9.8686,0.6688,-0.2157,-0.1877,-0.3796,0.1284,0.0537,-0.1374,233,2019-08-07 17:01:52:660
-0.4272,9.8686,0.6688,-0.1167,-0.1126,-0.7453,0.1614,-0.0379,-0.1395,237,2019-08-07 17:01:52:664
-0.3698,9.9259,0.796,-0.1167,-0.1126,-0.7453,0.1614,-0.0379,-0.1395,243,2019-08-07 17:01:52:670
-0.3698,9.9259,0.796,-0.1167,-0.1126,-0.7453,0.1827,-0.0539,-0.1417,248,2019-08-07 17:01:52:675
-0.2884,9.8495,0.3906,-0.1167,-0.1126,-0.7453,0.1827,-0.0539,-0.1417,253,2019-08-07 17:01:52:680
-0.2884,9.8495,0.3906,-0.2914,-0.0567,-0.36,0.1827,-0.0539,-0.1417,258,2019-08-07 17:01:52:685
-0.2884,9.8495,0.3906,-0.2914,-0.0567,-0.36,0.1859,0.0303,-0.1587,263,2019-08-07 17:01:52:690
-0.3028,9.9879,0.3765,-0.2914,-0.0567,-0.36,0.1859,0.0303,-0.1587,268,2019-08-07 17:01:52:695
-0.3028,9.9879,0.3765,-0.2914,-0.0567,-0.36,0.1806,0.0825,-0.1683,273,2019-08-07 17:01:52:700
-0.3028,9.9879,0.3765,-0.1589,-0.3163,-0.2338,0.1806,0.0825,-0.1683,278,2019-08-07 17:01:52:705
-0.5516,10.1837,0.1832,-0.1589,-0.3163,-0.2338,0.1742,0.1059,-0.1747,283,2019-08-07 17:01:52:710
-0.5516,10.1837,0.1832,-0.1589,-0.3163,-0.2338,0.1742,0.1059,-0.1747,288,2019-08-07 17:01:52:715
-0.8195,10.155,0.1597,-0.1589,-0.3163,-0.2338,0.1657,0.1209,-0.179,293,2019-08-07 17:01:52:720
-0.8195,10.155,0.1597,0.2077,-0.3854,-0.1876,0.1657,0.1209,-0.179,298,2019-08-07 17:01:52:725
-0.8195,10.155,0.1597,0.2077,-0.3854,-0.1876,0.1657,0.1209,-0.179,303,2019-08-07 17:01:52:730
-0.8195,10.155,0.1597,0.2077,-0.3854,-0.1876,0.1572,0.0623,-0.1704,307,2019-08-07 17:01:52:734
-0.9678,10.0309,0.1455,0.2077,-0.3854,-0.1876,0.1572,0.0623,-0.1704,313,2019-08-07 17:01:52:740
-0.9678,10.0309,0.1455,0.2916,-0.1732,-0.1807,0.1529,0.0165,-0.163,317,2019-08-07 17:01:52:744
-1.0348,9.9068,0.0418,0.2916,-0.1732,-0.1807,0.1529,0.0165,-0.163,323,2019-08-07 17:01:52:750
-1.0348,9.9068,0.0418,0.2916,-0.1732,-0.1807,0.1401,-0.0198,-0.147,327,2019-08-07 17:01:52:754
-0.9918,9.9211,0.1172,0.2916,-0.1732,-0.1807,0.1401,-0.0198,-0.147,333,2019-08-07 17:01:52:760
-0.9918,9.9211,0.1172,0.2496,-0.1328,-0.3116,0.1348,-0.0443,-0.1406,338,2019-08-07 17:01:52:765
-0.9918,9.9211,0.1172,0.2496,-0.1328,-0.3116,0.1348,-0.0443,-0.1406,343,2019-08-07 17:01:52:770
-0.8435,9.9402,0.2539,0.1154,-0.1578,-0.3608,0.1401,-0.0698,-0.1417,348,2019-08-07 17:01:52:775
-0.8435,9.9402,0.2539,0.1154,-0.1578,-0.3608,0.1401,-0.0698,-0.1417,352,2019-08-07 17:01:52:779
-0.8435,9.9402,0.2539,0.1154,-0.1578,-0.3608,0.1401,-0.0698,-0.1417,358,2019-08-07 17:01:52:785
-0.609,9.84,0.0277,0.1154,-0.1578,-0.3608,0.1455,-0.0528,-0.1363,362,2019-08-07 17:01:52:789
-0.609,9.84,0.0277,-0.3273,-0.036,-0.1505,0.1455,-0.0528,-0.1363,368,2019-08-07 17:01:52:795
-0.4512,9.9068,0.0277,-0.3273,-0.036,-0.1505,0.1337,-0.0017,-0.1449,373,2019-08-07 17:01:52:800
-0.4512,9.9068,0.0277,-0.3273,-0.036,-0.1505,0.1337,-0.0017,-0.1449,378,2019-08-07 17:01:52:805
-0.4512,9.9068,0.0277,-0.3273,-0.036,-0.1505,0.121,0.0399,-0.1438,382,2019-08-07 17:01:52:809
-0.432,10.0452,-6.0E-4,-0.3582,-0.2819,-0.1602,0.121,0.0399,-0.1438,388,2019-08-07 17:01:52:815
-0.432,10.0452,-6.0E-4,-0.3582,-0.2819,-0.1602,0.1156,0.0878,-0.1513,393,2019-08-07 17:01:52:820
-0.6665,10.0166,-6.0E-4,-0.3582,-0.2819,-0.1602,0.1156,0.0878,-0.1513,398,2019-08-07 17:01:52:825
-0.6665,10.0166,-6.0E-4,-0.3582,-0.2819,-0.1602,0.105,0.1166,-0.147,403,2019-08-07 17:01:52:830
-0.6665,10.0166,-6.0E-4,-0.3582,-0.2819,-0.1602,0.105,0.1166,-0.147,407,2019-08-07 17:01:52:834
-0.7765,9.9163,0.1172,-0.0321,-0.1413,-0.2954,0.1071,0.1123,-0.1342,413,2019-08-07 17:01:52:840
-0.7765,9.9163,0.1172,-0.0321,-0.1413,-0.2954,0.1071,0.1123,-0.1342,418,2019-08-07 17:01:52:845
-0.9679,9.8256,0.3859,-0.0321,-0.1413,-0.2954,0.1071,0.1123,-0.1342,422,2019-08-07 17:01:52:849
-0.9679,9.8256,0.3859,0.1761,-0.1009,-0.5264,0.1092,0.0601,-0.1172,428,2019-08-07 17:01:52:855
-0.9679,9.8256,0.3859,0.1761,-0.1009,-0.5264,0.1092,0.0601,-0.1172,433,2019-08-07 17:01:52:860
-1.0349,9.859,0.0842,0.1761,-0.1009,-0.5264,0.1114,0.0207,-0.1012,438,2019-08-07 17:01:52:865
-1.0349,9.859,0.0842,0.1761,-0.1009,-0.5264,0.1114,0.0207,-0.1012,443,2019-08-07 17:01:52:870
-1.054,9.7349,-0.2929,0.1976,0.0352,0.0758,0.0975,-0.008,-0.0959,448,2019-08-07 17:01:52:875
-1.054,9.7349,-0.2929,0.1976,0.0352,0.0758,0.0975,-0.008,-0.0959,453,2019-08-07 17:01:52:880
-1.054,9.7349,-0.2929,0.1976,0.0352,0.0758,0.0783,-0.0208,-0.0863,458,2019-08-07 17:01:52:885
-1.0684,9.6347,-0.2457,0.1976,0.0352,0.0758,0.0783,-0.0208,-0.0863,463,2019-08-07 17:01:52:890
-1.0684,9.6347,-0.2457,0.1647,0.2814,-0.0486,0.0688,-0.0368,-0.0767,468,2019-08-07 17:01:52:895
-1.0349,9.5249,-0.1797,0.1647,0.2814,-0.0486,0.0688,-0.0368,-0.0767,473,2019-08-07 17:01:52:900
-1.0349,9.5249,-0.1797,0.1647,0.2814,-0.0486,0.0634,-0.0656,-0.0714,478,2019-08-07 17:01:52:905
-1.0349,9.5249,-0.1797,0.1647,0.2814,-0.0486,0.0634,-0.0656,-0.0714,483,2019-08-07 17:01:52:910
-0.9727,9.5488,-0.0902,0.0629,0.232,-0.1534,0.0613,-0.0901,-0.0682,488,2019-08-07 17:01:52:915
-0.9727,9.5488,-0.0902,0.0629,0.232,-0.1534,0.0613,-0.0901,-0.0682,493,2019-08-07 17:01:52:920
-0.877,9.5917,-0.1986,0.0629,0.232,-0.1534,0.0475,-0.0815,-0.0692,498,2019-08-07 17:01:52:925
-0.877,9.5917,-0.1986,0.0629,0.232,-0.1534,0.0475,-0.0815,-0.0692,503,2019-08-07 17:01:52:930
-0.877,9.5917,-0.1986,0.0629,0.232,-0.1534,0.0475,-0.0815,-0.0692,507,2019-08-07 17:01:52:934
-0.8675,9.902,-0.1043,-0.0372,-0.137,-0.1462,0.0315,-0.0602,-0.0682,513,2019-08-07 17:01:52:940
-0.8675,9.902,-0.1043,-0.0372,-0.137,-0.1462,0.0315,-0.0602,-0.0682,517,2019-08-07 17:01:52:944
-0.8866,9.9498,0.1078,-0.0372,-0.137,-0.1462,0.0325,-0.0677,-0.0682,523,2019-08-07 17:01:52:950
-0.8866,9.9498,0.1078,-0.0372,-0.137,-0.1462,0.0325,-0.0677,-0.0682,528,2019-08-07 17:01:52:955
-0.8866,9.9498,0.1078,-0.0507,-0.1718,-0.5588,0.0325,-0.0677,-0.0682,533,2019-08-07 17:01:52:960
-0.8866,10.0023,0.2162,-0.0507,-0.1718,-0.5588,0.0411,-0.072,-0.0554,537,2019-08-07 17:01:52:964
-0.8866,10.0023,0.2162,-0.0507,-0.1718,-0.5588,0.0411,-0.072,-0.0554,543,2019-08-07 17:01:52:970
-0.8627,9.9832,-0.0666,-0.0281,-0.2159,-0.2515,0.0368,-0.0677,-0.0565,548,2019-08-07 17:01:52:975
-0.8627,9.9832,-0.0666,-0.0281,-0.2159,-0.2515,0.0368,-0.0677,-0.0565,553,2019-08-07 17:01:52:980
-0.8627,9.9832,-0.0666,-0.0281,-0.2159,-0.2515,0.0283,-0.0549,-0.0565,558,2019-08-07 17:01:52:985
-0.9345,9.902,-0.0572,-0.0281,-0.2159,-0.2515,0.0283,-0.0549,-0.0565,563,2019-08-07 17:01:52:990
-0.9345,9.902,-0.0572,-0.0281,-0.2159,-0.2515,0.0208,-0.0602,-0.0501,568,2019-08-07 17:01:52:995
-0.9393,9.9068,-0.0242,-0.0387,-0.0833,-0.1974,0.0208,-0.0602,-0.0501,573,2019-08-07 17:01:53:000
-0.9393,9.9068,-0.0242,-0.0387,-0.0833,-0.1974,0.0261,-0.0762,-0.0511,578,2019-08-07 17:01:53:005
-0.9393,9.9068,-0.0242,-0.0387,-0.0833,-0.1974,0.0261,-0.0762,-0.0511,583,2019-08-07 17:01:53:010
-1.0062,9.7445,-0.142,-0.0387,-0.0833,-0.1974,0.0208,-0.073,-0.0607,588,2019-08-07 17:01:53:015
-1.0062,9.7445,-0.142,0.1314,0.0826,-0.1238,0.0208,-0.073,-0.0607,593,2019-08-07 17:01:53:020
-1.0158,9.6824,-0.0525,0.1314,0.0826,-0.1238,0.007,-0.0784,-0.0565,598,2019-08-07 17:01:53:025
-1.0158,9.6824,-0.0525,0.1314,0.0826,-0.1238,0.007,-0.0784,-0.0565,602,2019-08-07 17:01:53:029
-1.0158,9.6824,-0.0525,0.1314,0.0826,-0.1238,0.007,-0.0784,-0.0565,608,2019-08-07 17:01:53:035
-0.8962,9.8734,-0.0996,-0.067,-0.1142,-0.1595,0.0027,-0.105,-0.0607,613,2019-08-07 17:01:53:040
-0.8962,9.8734,-0.0996,-0.067,-0.1142,-0.1595,0.0027,-0.105,-0.0607,618,2019-08-07 17:01:53:045
-0.8627,10.0548,-0.0525,-0.067,-0.1142,-0.1595,6.0E-4,-0.1199,-0.0596,622,2019-08-07 17:01:53:049
-0.8627,10.0548,-0.0525,-0.067,-0.1142,-0.1595,6.0E-4,-0.1199,-0.0596,628,2019-08-07 17:01:53:055
-0.8627,10.0548,-0.0525,-0.1501,-0.3921,-0.3398,0.0027,-0.1082,-0.0554,633,2019-08-07 17:01:53:060
-0.8723,10.1025,0.1738,-0.1501,-0.3921,-0.3398,0.0027,-0.1082,-0.0554,638,2019-08-07 17:01:53:065
-0.8723,10.1025,0.1738,-0.1501,-0.3921,-0.3398,0.0123,-0.0933,-0.0522,643,2019-08-07 17:01:53:070
-0.9345,9.8782,0.3482,-0.1501,-0.3921,-0.3398,0.0123,-0.0933,-0.0522,648,2019-08-07 17:01:53:075
-0.9345,9.8782,0.3482,-0.0838,-0.0923,-0.7039,0.0272,-0.0975,-0.0533,653,2019-08-07 17:01:53:080
-0.9345,9.8782,0.3482,-0.0838,-0.0923,-0.7039,0.0272,-0.0975,-0.0533,658,2019-08-07 17:01:53:085
-0.9489,9.9116,0.2869,-0.0838,-0.0923,-0.7039,0.0379,-0.105,-0.049,663,2019-08-07 17:01:53:090
-0.9489,9.9116,0.2869,-0.0838,-0.0923,-0.7039,0.0379,-0.105,-0.049,668,2019-08-07 17:01:53:095
-0.901,9.9354,0.0748,-0.0795,-0.1745,-0.2716,0.0389,-0.0826,-0.0533,673,2019-08-07 17:01:53:100
-0.901,9.9354,0.0748,-0.0795,-0.1745,-0.2716,0.0389,-0.0826,-0.0533,677,2019-08-07 17:01:53:104
-0.901,9.9354,0.0748,-0.0795,-0.1745,-0.2716,0.0443,-0.0549,-0.0543,683,2019-08-07 17:01:53:110
-0.9776,9.7875,0.268,-0.0795,-0.1745,-0.2716,0.0443,-0.0549,-0.0543,687,2019-08-07 17:01:53:114
-0.9776,9.7875,0.268,-0.0565,0.0152,-0.5774,0.057,-0.0517,-0.0565,693,2019-08-07 17:01:53:120
-0.9058,9.754,0.1785,-0.0565,0.0152,-0.5774,0.057,-0.0517,-0.0565,698,2019-08-07 17:01:53:125
-0.9058,9.754,0.1785,-0.0565,0.0152,-0.5774,0.072,-0.0762,-0.0596,703,2019-08-07 17:01:53:130
-0.9058,9.754,0.1785,-0.0565,0.0152,-0.5774,0.072,-0.0762,-0.0596,708,2019-08-07 17:01:53:135
-0.8341,9.8209,-0.0525,-0.1824,-0.0673,-0.2139,0.072,-0.0762,-0.0596,713,2019-08-07 17:01:53:140
-0.8341,9.8209,-0.0525,-0.1824,-0.0673,-0.2139,0.0741,-0.0368,-0.0671,717,2019-08-07 17:01:53:144
-0.8341,9.8209,-0.0525,-0.1824,-0.0673,-0.2139,0.0741,-0.0368,-0.0671,722,2019-08-07 17:01:53:149
-0.7862,9.7731,-0.1091,-0.1824,-0.0673,-0.2139,0.0656,0.0111,-0.0714,728,2019-08-07 17:01:53:155
-0.7862,9.7731,-0.1091,-0.1321,-0.131,-0.2263,0.0656,0.0111,-0.0714,733,2019-08-07 17:01:53:160
-0.7862,9.7731,-0.1091,-0.1321,-0.131,-0.2263,0.0634,0.0228,-0.0746,738,2019-08-07 17:01:53:165
-0.925,9.8447,0.0748,-0.1321,-0.131,-0.2263,0.0634,0.0228,-0.0746,743,2019-08-07 17:01:53:170
-0.925,9.8447,0.0748,-0.1321,-0.131,-0.2263,0.0762,0.0037,-0.0724,748,2019-08-07 17:01:53:175
-1.1164,9.6538,0.0842,0.1025,-0.0039,-0.4304,0.0762,0.0037,-0.0724,753,2019-08-07 17:01:53:180
-1.1164,9.6538,0.0842,0.1025,-0.0039,-0.4304,0.0762,0.0037,-0.0724,758,2019-08-07 17:01:53:185
-1.1881,9.7684,0.0323,0.1285,-0.0192,-0.46,0.0826,-0.0262,-0.0735,764,2019-08-07 17:01:53:191
-1.1881,9.7684,0.0323,0.1285,-0.0192,-0.46,0.0826,-0.0262,-0.0735,768,2019-08-07 17:01:53:195
-1.1881,9.7684,0.0323,0.1285,-0.0192,-0.46,0.0922,-0.0528,-0.065,773,2019-08-07 17:01:53:200
-1.0207,9.8304,0.0371,0.1285,-0.0192,-0.46,0.0922,-0.0528,-0.065,777,2019-08-07 17:01:53:204
-1.0207,9.8304,0.0371,-0.0722,-0.1692,-0.4221,0.0943,-0.0698,-0.0714,783,2019-08-07 17:01:53:210
-1.0207,9.8304,0.0371,-0.0722,-0.1692,-0.4221,0.0943,-0.0698,-0.0714,788,2019-08-07 17:01:53:215
-0.9107,9.9832,0.1973,-0.0722,-0.1692,-0.4221,0.1103,-0.0698,-0.0746,793,2019-08-07 17:01:53:220
